Symbol,Annualized_Volatility
AWFIS.NS,0.4812203699307842
AWHCL.NS,0.45488973757375223
AWL.NS,0.4349390187323629
AXISBANK.NS,0.3255282845426364
AXISCADES.NS,0.5617273702410204
AXITA.NS,0.43190050404756325
AYMSYNTEX.NS,0.5228841518341668
AZAD.NS,0.4630237286806879
BABAFP.NS,0.5356589115760297
BAFNAPH.NS,0.45099592731549315
BAGFILMS.NS,0.5355516725979702
BAHETI.NS,0.5322324239132479
BAIDFIN.NS,0.4869683283493186
BAJAJ-AUTO.NS,0.269430647459261
BAJAJCON.NS,0.38089619529010277
BAJAJELEC.NS,0.36304413925344914
BAJAJFINSV.NS,0.32254004122562085
BAJAJHCARE.NS,0.47882515684628896
BAJAJHIND.NS,0.5435838669160945
BAJAJHLDNG.NS,0.33348418462324786
BAJEL.NS,0.532191596420279
BAJFINANCE.NS,0.3554399230692486
BALAJITELE.NS,0.5273330052152397
BALAMINES.NS,0.4840489407210762
BALAXI.NS,0.5105021994549356
BALKRISHNA.NS,0.5283034670831251
BALKRISIND.NS,0.33299519657169196
BALMLAWRIE.NS,0.36663424358201563
BALPHARMA.NS,0.5154862607509011
BALRAMCHIN.NS,0.4205627353286955
BALUFORGE.NS,0.5903073393267223
BANARBEADS.NS,0.5091443942418161
BANARISUG.NS,0.34491897331754157
BANCOINDIA.NS,0.4895908458027645
BANDHANBNK.NS,0.44395110413036964
BANG.NS,0.5601797398219766
BANKA.NS,0.5141865711643826
BANKBARODA.NS,0.38751679711415576
BANKINDIA.NS,0.41908100374480173
BANSWRAS.NS,0.47111802669076247
BASF.NS,0.3876903219975839
BASILIC.NS,0.5605776920928286
BASML.NS,0.5078168352405371
BATAINDIA.NS,0.2793527333053467
BAWEJA.NS,0.6386701078634751
BAYERCROP.NS,0.2818919331018073
BBL.NS,0.4452090272436818
BBOX.NS,0.5081783009135207
BBTC.NS,0.40255484859040014
BBTCL.NS,0.4364948541016825
BCG.NS,0.6047789589818453
BCLIND.NS,0.4981274888576085
BCONCEPTS.NS,0.5115723039174134
BDL.NS,0.46470516860447886
BEACON.NS,0.6351883827047847
BEARDSELL.NS,0.5715330968272851
BECTORFOOD.NS,0.37958069371856
BEDMUTHA.NS,0.5087618156854375
BEL.NS,0.35640918855564147
BEML.NS,0.46320529568940955
BEPL.NS,0.45311181494161284
BERGEPAINT.NS,0.27159736072374047
BESTAGRO.NS,0.5126849942606563
BEWLTD.NS,0.5691715058930672
BFINVEST.NS,0.47755156368302104
BFSI.NS,0.16600653416356398
BFUTILITIE.NS,0.5116587086581069
BGRENERGY.NS,0.6003446967123753
BHAGCHEM.NS,0.4260593300048808
BHAGERIA.NS,0.4573981064598993
BHAGYANGR.NS,0.5631067676802762
BHANDARI.NS,0.5885163411817337
BHARATFORG.NS,0.36371056479152397
BHARATGEAR.NS,0.512299373491811
BHARATRAS.NS,0.4153250554578682
BHARATWIRE.NS,0.5509253823458562
BHARTIARTL.NS,0.2678008322081976
BHARTIHEXA.NS,0.3802443610376373
BHEL.NS,0.46220382169018426
BIGBLOC.NS,0.5402556441825371
BIKAJI.NS,0.3316674313209943
BIL.NS,0.5099654074067217
BIOCON.NS,0.326059137679558
BIOFILCHEM.NS,0.5539284456849155
BIRDYS.NS,0.4758310926030374
BIRET.NS,0.1748553287120344
BIRLACABLE.NS,0.5570442319779176
BIRLACORPN.NS,0.3855472827514043
