Symbol,Risk_Contribution,Risk_Contribution_Pct
BHAGCHEM.NS,5.11999242497361e-05,0.00031802735338035793
BHAGERIA.NS,0.00010901528302705665,0.000677146352209382
BHAGYANGR.NS,0.00010005240874222248,0.0006214736294611375
BHANDARI.NS,0.00011177613287808559,0.0006942953184250463
BHARATFORG.NS,8.482321518182834e-05,0.000526877783996497
BHARATGEAR.NS,0.00010630513526008073,0.0006603123210222073
BHARATRAS.NS,7.705994752942591e-05,0.0004786563949757971
BHARATWIRE.NS,0.00012084652237096257,0.0007506358698383335
BHARTIARTL.NS,3.670361060165981e-05,0.00022798377751914896
BHARTIHEXA.NS,1.5635850804769758e-05,9.712178918539506e-05
BHEL.NS,0.00012309320986356013,0.0007645911263668085
BIGBLOC.NS,0.00010055172513891447,0.0006245751237400121
BIKAJI.NS,3.058640475147378e-05,0.00018998687000170217
BIL.NS,8.510525120407213e-05,0.000528629645371811
BIOCON.NS,6.526153913860783e-05,0.00040537080618604766
BIOFILCHEM.NS,9.248696648782004e-05,0.000574481029128688
BIRDYS.NS,1.3676099479312186e-05,8.494883118883839e-05
BIRET.NS,1.2707703706988677e-05,7.893365931095499e-05
